model,reasoning_type,complexity,mean_accuracy,std_accuracy,cv,n_runs
SmolLM3_3B,conflicting,1,0.5,0.17320508075688767,0.34641016151377535,3
SmolLM3_3B,conflicting,2,0.3666666666666667,0.057735026918962595,0.15745916432444343,3
SmolLM3_3B,conflicting,3,0.3,0.17320508075688776,0.5773502691896258,3
SmolLM3_3B,conflicting,4,0.20000000000000004,0.09999999999999999,0.4999999999999999,3
SmolLM3_3B,hierarchical,1,0.9027777777777778,0.08673608331108884,0.09607689228305226,3
SmolLM3_3B,hierarchical,2,0.5333333333333333,0.15275252316519464,0.28641098093473993,3
SmolLM3_3B,hierarchical,3,0.6,0.2,0.33333333333333337,3
SmolLM3_3B,hierarchical,4,0.5,0.09999999999999998,0.19999999999999996,3
SmolLM3_3B,multihop,1,0.5,0.16666666666666666,0.3333333333333333,3
SmolLM3_3B,multihop,2,0.26666666666666666,0.20816659994661327,0.7806247497997998,3
SmolLM3_3B,multihop,3,0.13333333333333333,0.05773502691896258,0.43301270189221935,3
SmolLM3_3B,multihop,4,0.0,0.0,0.0,3
SmolLM3_3B,temporal,1,0.362962962962963,0.36197901401098126,0.997289120234336,3
SmolLM3_3B,temporal,2,0.39999999999999997,0.264575131106459,0.6614378277661476,3
SmolLM3_3B,temporal,3,0.3333333333333333,0.32145502536643183,0.9643650760992956,3
SmolLM3_3B,temporal,4,0.4666666666666666,0.11547005383792512,0.24743582965269673,3
SmolLM3_3B,weighted,1,0.6047619047619048,0.10722219284950195,0.17729653935744413,3
SmolLM3_3B,weighted,2,0.19999999999999998,0.09999999999999999,0.5,3
SmolLM3_3B,weighted,3,0.19999999999999998,0.09999999999999999,0.5,3
SmolLM3_3B,weighted,4,0.2333333333333333,0.1527525231651947,0.6546536707079773,3
claude_3_5_haiku_20241022,conflicting,1,0.7333333333333334,0.2081665999466133,0.28386354538174535,3
claude_3_5_haiku_20241022,conflicting,2,0.8333333333333334,0.11547005383792519,0.1385640646055102,3
claude_3_5_haiku_20241022,conflicting,3,0.7666666666666666,0.05773502691896263,0.07530655685082083,3
claude_3_5_haiku_20241022,conflicting,4,0.5,0.0,0.0,3
claude_3_5_haiku_20241022,hierarchical,1,0.9583333333333334,0.07216878364870323,0.07530655685082076,3
claude_3_5_haiku_20241022,hierarchical,2,0.7333333333333334,0.11547005383792519,0.15745916432444343,3
claude_3_5_haiku_20241022,hierarchical,3,0.8666666666666667,0.05773502691896256,0.06661733875264911,3
claude_3_5_haiku_20241022,hierarchical,4,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
claude_3_5_haiku_20241022,multihop,1,0.9333333333333332,0.11547005383792512,0.12371791482634836,3
